,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
0,14950,99856.0,4.0,Saloon,4163.0,Manual,2007.0,Audi,RS4
1,13995,58000.0,4.0,Saloon,1968.0,Automatic,2015.0,Audi,A6
2,10950,49780.0,4.0,Saloon,1968.0,Automatic,2014.0,Audi,A6
3,12500,38007.0,4.0,Saloon,1968.0,Manual,2012.0,Audi,A4
4,21100,10395.0,4.0,Saloon,1498.0,Manual,2018.0,Audi,A3
5,15900,20449.0,4.0,Saloon,1968.0,Manual,2016.0,Audi,A4
7,19750,55057.0,4.0,Saloon,2967.0,Automatic,2016.0,Audi,A8
8,17490,28398.0,4.0,Saloon,1598.0,Manual,2017.0,Audi,A3
9,24950,5000.0,4.0,Saloon,999.0,Manual,2020.0,Audi,A3
10,29480,6740.0,4.0,Saloon,1998.0,Automatic,2020.0,BMW,3
12,44315,7694.0,4.0,Saloon,2993.0,Automatic,2019.0,BMW,7
13,16500,47500.0,4.0,Saloon,2993.0,Automatic,2015.0,BMW,3
14,19250,33964.0,4.0,Saloon,1998.0,Automatic,2018.0,BMW,3
15,5995,119392.0,4.0,Saloon,1995.0,Manual,2012.0,BMW,3
16,8950,48941.0,4.0,Saloon,1995.0,Automatic,2014.0,BMW,3
17,15999,51394.0,4.0,Saloon,2993.0,Automatic,2016.0,BMW,3
18,17400,40000.0,4.0,Saloon,1998.0,Automatic,2017.0,BMW,3
19,28500,11945.0,4.0,Saloon,1998.0,Automatic,2019.0,BMW,3
21,21480,20032.0,4.0,Saloon,2000.0,Automatic,2019.0,Mercedes-Benz,C
22,24995,28000.0,4.0,Saloon,5000.0,Automatic,2018.0,Mercedes-Benz,S
23,22495,5971.0,4.0,Saloon,1950.0,Automatic,2019.0,Mercedes-Benz,E
24,20450,6826.0,4.0,Saloon,1500.0,Automatic,2019.0,Mercedes-Benz,C
25,16950,12149.0,4.0,Saloon,2000.0,Automatic,2016.0,Mercedes-Benz,C
26,32481,2000.0,4.0,Saloon,1950.0,Automatic,2020.0,Mercedes-Benz,A
27,16995,29000.0,4.0,Saloon,2143.0,Automatic,2018.0,Mercedes-Benz,C
28,28990,6390.0,4.0,Saloon,1950.0,Automatic,2019.0,Mercedes-Benz,C
29,12695,107850.0,4.0,Saloon,1991.0,Automatic,2016.0,Mercedes-Benz,C
30,94495,13710.0,2.0,Saloon,5500.0,Automatic,2006.0,Ferrari,612
31,79999,26000.0,2.0,Saloon,3586.0,Manual,2004.0,Ferrari,360
32,14700,25000.0,4.0,Saloon,1999.0,Automatic,2015.0,Ford,Mondeo
33,12999,50000.0,4.0,Saloon,1999.0,Automatic,2017.0,Ford,Mondeo
34,28000,10.0,4.0,Saloon,1999.0,Automatic,2020.0,Ford,Mondeo
35,41999,1801.0,2.0,Saloon,5038.0,Automatic,2019.0,Ford,Mustang
36,28999,10380.0,2.0,Saloon,2300.0,Automatic,2018.0,Ford,Mustang
37,18025,12259.0,4.0,Saloon,2.0,Automatic,2019.0,Ford,Mondeo
38,1999,58000.0,4.0,Saloon,2495.0,Manual,2001.0,Ford,Mondeo
39,1000,79000.0,4.0,Saloon,1596.0,Automatic,2004.0,Ford,Focus
40,15998,32856.0,4.0,Saloon,1999.0,Automatic,2018.0,Ford,Mondeo
41,18995,15015.0,4.0,Saloon,1999.0,Automatic,2018.0,Ford,Mondeo
42,4495,42800.0,4.0,Saloon,2354.0,Automatic,2005.0,Honda,Accord
43,895,120000.0,4.0,Saloon,2204.0,Manual,2004.0,Honda,Accord
44,13790,22677.0,4.0,Saloon,1597.0,Manual,2019.0,Honda,Civic
45,4500,92000.0,4.0,Saloon,2199.0,Manual,2012.0,Honda,Accord
46,7490,63797.0,4.0,Saloon,1997.0,Manual,2009.0,Honda,Accord
47,3495,100269.0,4.0,Saloon,1339.0,Automatic,2008.0,Honda,Civic
48,14900,6489.0,4.0,Saloon,988.0,Automatic,2019.0,Honda,Civic
49,4000,70000.0,4.0,Saloon,1339.0,Automatic,2008.0,Honda,Civic
50,1995,140000.0,4.0,Saloon,2204.0,Manual,2006.0,Honda,Accord
51,2495,109738.0,4.0,Saloon,1998.0,Automatic,2006.0,Honda,Accord
52,22995,8700.0,4.0,Saloon,999.0,Manual,2019.0,Audi,A3
53,17999,41804.0,5.0,Saloon,999.0,Manual,2018.0,Audi,Q2
54,16499,34000.0,4.0,Saloon,1968.0,Automatic,2016.0,Audi,A4
55,30981,3500.0,4.0,Saloon,1984.0,Automatic,2020.0,Audi,A4
56,12995,73000.0,4.0,Saloon,1968.0,Automatic,2016.0,Audi,A6
57,17299,26000.0,4.0,Saloon,1968.0,Manual,2017.0,Audi,A4
58,7990,119000.0,4.0,Saloon,1968.0,Manual,2015.0,Audi,A4
59,9500,116605.0,4.0,Saloon,1968.0,Manual,2014.0,Audi,A6
60,19399,41700.0,4.0,Saloon,1798.0,Automatic,2018.0,Audi,A6
61,15498,30153.0,4.0,Saloon,1968.0,Manual,2017.0,Audi,A4
62,16498,40761.0,4.0,Saloon,2993.0,Automatic,2017.0,BMW,3
63,25980,5608.0,4.0,Saloon,1995.0,Manual,2019.0,BMW,3
64,10985,132000.0,4.0,Saloon,2993.0,Automatic,2013.0,BMW,7
65,26500,14966.0,5.0,Saloon,3.0,Automatic,2018.0,BMW,4
66,16990,62407.0,4.0,Saloon,2993.0,Automatic,2015.0,BMW,3
68,18500,33203.0,4.0,Saloon,1995.0,Automatic,2017.0,BMW,3
70,4490,50971.0,4.0,Saloon,1995.0,Manual,2010.0,BMW,3
71,19298,25981.0,4.0,Saloon,1998.0,Automatic,2017.0,BMW,3
72,8251,61000.0,4.0,Saloon,2987.0,Automatic,2009.0,Mercedes-Benz,S
73,26400,8000.0,4.0,Saloon,1950.0,Automatic,2019.0,Mercedes-Benz,C
74,18600,41771.0,4.0,Saloon,1950.0,Automatic,2017.0,Mercedes-Benz,E
75,32995,78323.0,4.0,Saloon,2496.0,Manual,1990.0,Mercedes-Benz,190
76,13500,58724.0,4.0,Saloon,2143.0,Automatic,2015.0,Mercedes-Benz,E
77,5450,175850.0,4.0,Saloon,3222.0,Manual,2003.0,Mercedes-Benz,E
78,24475,14425.0,4.0,Saloon,2.0,Automatic,2017.0,Mercedes-Benz,E
79,33980,11917.0,4.0,Saloon,2925.0,Manual,2018.0,Mercedes-Benz,S
80,21490,32760.0,4.0,Saloon,1950.0,Automatic,2017.0,Mercedes-Benz,E
81,19900,38309.0,4.0,Saloon,1950.0,Automatic,2018.0,Mercedes-Benz,E
82,12698,31828.0,4.0,Saloon,1999.0,Automatic,2015.0,Ford,Mondeo
83,2800,46948.0,4.0,Saloon,1596.0,Manual,2005.0,Ford,Focus
84,9995,69318.0,4.0,Saloon,1999.0,Automatic,2015.0,Ford,Mondeo
85,3499,66000.0,4.0,Saloon,1597.0,Manual,1993.0,Ford,Orion
86,18300,15699.0,4.0,Saloon,1999.0,Automatic,2018.0,Ford,Mondeo
87,13299,47000.0,4.0,Saloon,1999.0,Automatic,2017.0,Ford,Mondeo
89,17000,21390.0,4.0,Saloon,2000.0,Automatic,2019.0,Ford,Mondeo
90,995,83000.0,4.0,Saloon,1989.0,Automatic,2003.0,Ford,Focus
91,13720,50657.0,4.0,Saloon,1999.0,Automatic,2018.0,Ford,Mondeo
92,1650,133682.0,4.0,Saloon,2199.0,Manual,2008.0,Honda,Accord
